category,name,sku,description,price,costPrice,mrp,stock,rating,reviewCount,imageUrl
Home & Kitchen,Memory Foam Pillow Set of 2,HOME-PILL-005,Orthopedic memory foam pillows with breathable cover for neck support and better sleep,1199,500,2499,220,4.5,7654,https://m.media-amazon.com/images/I/817yII2HujL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Home & Kitchen,LED Smart Desk Lamp,HOME-LAMP-006,Dimmable LED desk lamp with touch control adjustable colour temperature and USB charging port,899,420,1799,260,4.4,3211,https://m.media-amazon.com/images/I/712PoewwknL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Books,The Art of Focus Productivity Guide,BOOK-PROD-001,Bestselling productivity guide with practical strategies to beat distraction and build deep focus,399,150,699,400,4.7,12043,https://m.media-amazon.com/images/I/51YZfSt3-uS.__AC_SX300_SY300_QL70_FMwebp_.jpg
Books,Mystery of the Silent Lake Novel,BOOK-NOVL-002,Gripping mystery thriller novel full of suspense twists and an unforgettable ending,299,110,499,350,4.5,8321,https://m.media-amazon.com/images/I/61zJ2v0W8iL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Books,Python Programming for Beginners,BOOK-TECH-003,Step-by-step beginner friendly guide to Python with hands-on projects and coding exercises,599,240,999,300,4.6,5643,https://m.media-amazon.com/images/I/61rnZ2Ea0bL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Books,Healthy Cooking Everyday Recipes,BOOK-COOK-004,Cookbook with 150 quick and healthy everyday recipes for the whole family,499,200,899,280,4.4,2311,https://m.media-amazon.com/images/I/71olZ2vNweL.__AC_SX300_SY300_QL70_ML2_.jpg
Books,Investing Basics Wealth Builder,BOOK-FIN-005,Beginner guide to personal finance investing and building long term wealth confidently,549,220,899,260,4.5,4102,https://m.media-amazon.com/images/I/913KZ4ZKoUL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Fashion,Mens Cotton Casual Shirt,FASH-SHRT-001,Premium cotton casual shirt with regular fit soft fabric and all-day comfort,899,400,1799,320,4.2,6521,https://m.media-amazon.com/images/I/61D73QFOcPL._AC_UX679_.jpg
Fashion,Womens Running Shoes,FASH-SHOE-002,Lightweight running shoes with cushioned sole breathable mesh and anti-slip grip,1999,1000,3999,180,4.4,9812,https://m.media-amazon.com/images/I/81xxvsms7-L._AC_UX575_.jpg
Fashion,Unisex Analog Wrist Watch,FASH-WTCH-003,Elegant analog wrist watch with stainless steel strap and water resistant design,1499,700,2999,150,4.3,3421,https://m.media-amazon.com/images/I/61NP8ABmtLL.__AC_SX300_SY300_QL70_ML2_.jpg
Fashion,Leather Wallet for Men,FASH-WLLT-004,Genuine leather bifold wallet with multiple card slots and slim minimalist design,699,300,1499,240,4.5,5123,https://m.media-amazon.com/images/I/719OeK2WJlL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Fashion,Womens Handbag Tote,FASH-BAG-005,Spacious tote handbag with premium finish sturdy handles and multiple compartments,1299,600,2799,130,4.2,2109,https://m.media-amazon.com/images/I/71seSUfe8dL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Sports & Outdoors,Yoga Mat Anti-Slip 6mm,SPRT-YOGA-001,Extra thick anti-slip yoga mat with cushioning for comfortable workouts and easy carry strap,799,350,1499,300,4.5,8743,https://m.media-amazon.com/images/I/71Yuh0mhPtL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Sports & Outdoors,Adjustable Dumbbell Set 20kg,SPRT-DMBL-002,Space-saving adjustable dumbbell set with secure locking for strength training at home,3499,2000,5999,70,4.4,3210,https://m.media-amazon.com/images/I/91NI2g+QOgL._AC_SX300_SY300_.jpg
Sports & Outdoors,Insulated Water Bottle 1L,SPRT-BTTL-003,Vacuum insulated stainless steel bottle that keeps drinks cold 24h and hot 12h,599,250,1199,400,4.6,11234,https://m.media-amazon.com/images/I/71xfrlpSyPL.__AC_SX300_SY300_QL70_ML2_.jpg
Sports & Outdoors,Mountain Bike Helmet,SPRT-HLMT-004,Lightweight ventilated cycling helmet with adjustable fit and impact resistant shell,1299,650,2499,110,4.3,1893,https://m.media-amazon.com/images/I/61Rhvu7iobL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Sports & Outdoors,Camping Tent 4 Person,SPRT-TENT-005,Waterproof 4 person camping tent with easy setup and durable weather resistant material,4999,3000,8999,50,4.2,987,https://m.media-amazon.com/images/I/618LjaPVouS.__AC_SY300_SX300_QL70_ML2_.jpg
Beauty & Personal Care,Vitamin C Face Serum,BEAU-SERM-001,Brightening vitamin C face serum with hyaluronic acid for glowing and even skin tone,699,250,1299,350,4.4,15321,https://m.media-amazon.com/images/I/21dsQ9OVv8L._SX300_SY300_QL70_FMwebp_.jpg
Beauty & Personal Care,Electric Beard Trimmer,BEAU-TRIM-002,Cordless beard trimmer with precision blades multiple length settings and USB charging,1299,700,2499,200,4.5,8712,https://m.media-amazon.com/images/I/41DMoSGOcoL._SX300_SY300_QL70_FMwebp_.jpg
Beauty & Personal Care,Hair Dryer Ionic 1800W,BEAU-DRYR-003,Powerful 1800W ionic hair dryer with multiple heat settings for fast frizz-free drying,1799,950,3499,160,4.3,4321,https://m.media-amazon.com/images/I/41Z5XJmnQzL._SX300_SY300_QL70_FMwebp_.jpg
Beauty & Personal Care,Natural Aloe Vera Gel,BEAU-ALOE-004,Pure aloe vera gel for skin and hair soothing hydration for daily use,349,120,699,420,4.6,9812,https://m.media-amazon.com/images/I/41NMh5M4gEL._SX300_SY300_QL70_ML2_.jpg
Beauty & Personal Care,Perfume Eau de Parfum 100ml,BEAU-PERF-005,Long lasting eau de parfum with fresh premium fragrance for men and women,1999,900,3999,140,4.4,3211,https://m.media-amazon.com/images/I/31KRruzzwxL._SX300_SY300_QL70_FMwebp_.jpg
Toys & Games,Building Blocks Creative Set 500 Pieces,TOYS-BLOK-001,Creative building blocks set with 500 pieces to boost imagination and motor skills,1499,700,2999,200,4.7,6754,https://m.media-amazon.com/images/I/81VrjTSaZBL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Toys & Games,Remote Control Racing Car,TOYS-RCAR-002,High speed rechargeable RC racing car with responsive controls for indoor and outdoor fun,1999,1100,3999,120,4.4,4321,https://m.media-amazon.com/images/I/6109ak+0MQS._AC_SY300_SX300_.jpg
Toys & Games,Strategy Board Game Family Night,TOYS-BOAR-003,Fun family strategy board game for 2 to 6 players perfect for game nights,999,450,1999,180,4.6,3211,https://m.media-amazon.com/images/I/91HqneFOuUL.__AC_SX300_SY300_QL70_ML2_.jpg
Toys & Games,Soft Plush Teddy Bear 3ft,TOYS-TEDY-004,Huggable 3ft soft plush teddy bear made with skin-friendly premium fabric,1299,600,2499,150,4.5,8712,https://m.media-amazon.com/images/I/61+VBRvmv9L._AC_SY300_SX300_.jpg
Toys & Games,Educational STEM Robot Kit,TOYS-STEM-005,Build-your-own STEM robot kit that teaches coding and electronics through play,2499,1400,4499,90,4.5,2109,https://m.media-amazon.com/images/I/91SLLeX1xEL.__AC_SX300_SY300_QL70_FMwebp_.jpg
